model,role,dataset,nDCG@10,MRR@10,Recall@10,Recall@100,encode_sec
Mursit-Base,finished,scifact-tr,57.03,54.8,65.62,100.0,97.2
trmteb-pretrain,finished,scifact-tr,62.07,59.9,68.75,100.0,49.3
